title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source
PERSONA5 the Animation,"Action, Fantasy, Supernatural",Aniplex,26,2018,TV,62,AniList
TRIGUN STAMPEDE,"Action, Drama, Sci-Fi",Orange,12,2023,TV,78,AniList
One-Punch Man OVA,"Action, Comedy, Sci-Fi, Supernatural",MADHOUSE,6,2015,OVA,75,AniList
Texhnolyze,"Action, Drama, Psychological, Sci-Fi",MADHOUSE,22,2003,TV,76,AniList
Handa-kun,"Comedy, Slice of Life",diomedéa,12,2016,TV,70,AniList
Beck: Mongolian Chop Squad,"Comedy, Drama, Music, Slice of Life",MADHOUSE,26,2004,TV,80,AniList
How a Realist Hero Rebuilt the Kingdom Part 2,"Action, Adventure, Fantasy, Romance",J.C.STAFF,13,2022,TV,73,AniList
One Punch Man 3,"Action, Comedy, Sci-Fi, Supernatural",Shueisha,,2025,TV,,AniList
To Love Ru Darkness,"Comedy, Ecchi, Romance, Sci-Fi",Xebec,12,2012,TV,71,AniList
Kiss x Sis,"Comedy, Ecchi, Romance",feel.,12,2008,OVA,62,AniList
DAN DA DAN Season 2,"Action, Comedy, Drama, Romance, Sci-Fi, Supernatural",Science SARU,,2025,TV,,AniList
Berserk of Gluttony,"Action, Adventure, Drama, Fantasy, Romance",Genco,12,2023,TV,67,AniList
